Mots conjugués;Infinitif
désirez;désirer
désirent;désirer
détache;détacher
détaches;détacher
détache;détacher
détachons;détacher
détachez;détacher
détachent;détacher
déterre;déterrer
déterres;déterrer
déterre;déterrer
déterrons;déterrer
déterrez;déterrer
déterrent;déterrer
déteste;détester
détestes;détester
déteste;détester
détestons;détester
détestez;détester
détestent;détester
détruis;détruire
détruis;détruire
détruit;détruire
détruisons;détruire
détruisez;détruire
détruisent;détruire
déverrouille;déverrouiller
déverrouilles;déverrouiller
déverrouille;déverrouiller
déverrouillons;déverrouiller
déverrouillez;déverrouiller
déverrouillent;déverrouiller
dévisse;dévisser
dévisses;dévisser
dévisse;dévisser
dévissons;dévisser
dévissez;dévisser
dévissent;dévisser
dîne;dîner
dînes;dîner
dîne;dîner
dînons;dîner
dînez;dîner
dînent;dîner
efface;effacer
effaces;effacer
efface;effacer
effaçons;effacer
effacez;effacer
effacent;effacer
efface;effacer
effaces;effacer
efface;effacer
effaçons;effacer
effacez;effacer
effacent;effacer
effiloche;effilocher
effiloches;effilocher
effiloche;effilocher
effilochons;effilocher
effilochez;effilocher
effilochent;effilocher
effraie;effrayer
effraies;effrayer
effraie;effrayer
effrayons;effrayer
effrayez;effrayer
effraient;effrayer
emballe;emballer
emballes;emballer
emballe;emballer
emballons;emballer
emballez;emballer
emballent;emballer
embarque;embarquer
embarques;embarquer
embarque;embarquer
embarquons;embarquer
embarquez;embarquer
embarquent;embarquer
embarrasse;embarrasser
embarrasses;embarrasser
embarrasse;embarrasser
embarrassons;embarrasser
embarrassez;embarrasser
embarrassent;embarrasser
embellis;embellir
embellis;embellir
embellit;embellir
embellissons;embellir
embellissez;embellir
embellissent;embellir
emboîte;emboîter
emboîtes;emboîter
emboîte;emboîter
emboîtons;emboîter
emboîtez;emboîter
emboîtent;emboîter
embrasse;embrasser
embrasses;embrasser
embrasse;embrasser
embrassons;embrasser
embrassez;embrasser
embrassent;embrasser
embrouille;embrouiller
embrouilles;embrouiller
embrouille;embrouiller
embrouillons;embrouiller
embrouillez;embrouiller
embrouillent;embrouiller
embête;embêter
embêtes;embêter
embête;embêter
embêtons;embêter
embêtez;embêter
embêtent;embêter
emmène;emmener
emmènes;emmener
emmène;emmener
emmenons;emmener
emmenez;emmener
emmènent;emmener
empile;empiler
empiles;empiler
empile;empiler
empilons;empiler
empilez;empiler
empilent;empiler
emporte;emporter
emportes;emporter
emporte;emporter
emportons;emporter
emportez;emporter
emportent;emporter
encercle;encercler
encercles;encercler
encercle;encercler
encerclons;encercler
encerclez;encercler
encerclent;encercler
encorne;encorner
encornes;encorner
encorne;encorner
encornons;encorner
encornez;encorner
encornent;encorner
encourage;encourager
encourages;encourager
encourage;encourager
encourageons;encourager
encouragez;encourager
encouragent;encourager
enduis;enduire
enduis;enduire
enduit;enduire
enduisons;enduire
enduisez;enduire
enduisent;enduire
enfile;enfiler
enfiles;enfiler
enfile;enfiler
enfilons;enfiler
enfilez;enfiler
enfilent;enfiler
enfonce;enfoncer
enfonces;enfoncer
enfonce;enfoncer
enfonçons;enfoncer
enfoncez;enfoncer
enfoncent;enfoncer
enfume;enfumer
enfumes;enfumer
enfume;enfumer
enfumons;enfumer
enfumez;enfumer
enfument;enfumer
engraisse;engraisser
engraisses;engraisser
engraisse;engraisser
engraissons;engraisser
engraissez;engraisser
engraissent;engraisser
enjambe;enjamber
enjambes;enjamber
enjambe;enjamber
enjambons;enjamber
enjambez;enjamber
enjambent;enjamber
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
enlève;enlever
enlèves;enlever
enlève;enlever
enlevons;enlever
enlevez;enlever
enlèvent;enlever
ennuie;ennuyer
ennuies;ennuyer
ennuie;ennuyer
ennuyons;ennuyer
ennuyez;ennuyer
ennuient;ennuyer
enregistre;enregistrer
enregistres;enregistrer
enregistre;enregistrer
enregistrons;enregistrer
enregistrez;enregistrer
enregistrent;enregistrer
enseigne;enseigner
enseignes;enseigner
enseigne;enseigner
enseignons;enseigner
enseignez;enseigner
enseignent;enseigner
ensemence;ensemencer
ensemences;ensemencer
ensemence;ensemencer
ensemençons;ensemencer
ensemencez;ensemencer
ensemencent;ensemencer
entasse;entasser
entasses;entasser
entasse;entasser
entassons;entasser
entassez;entasser
entassent;entasser
entends;entendre
entends;entendre
entend;entendre
entendons;entendre
entendez;entendre
entendent;entendre
entends;entendre
entends;entendre
entend;entendre
entendons;entendre
entendez;entendre
entendent;entendre
entends;entendre
entends;entendre
entend;entendre
entendons;entendre
entendez;entendre
entendent;entendre
entoure;entourer
entoures;entourer
entoure;entourer
entourons;entourer
entourez;entourer
entourent;entourer
entre;entrer
entres;entrer
entre;entrer
entrons;entrer
entrez;entrer
entrent;entrer
entre;entrer
entres;entrer
entre;entrer
entrons;entrer
entrez;entrer
entrent;entrer
entre;entrer
entres;entrer
entre;entrer
entrons;entrer
entrez;entrer
entrent;entrer
entre;entrer
entres;entrer
entre;entrer
entrons;entrer
entrez;entrer
entrent;entrer
entre;entrer
entres;entrer
entre;entrer
entrons;entrer
entrez;entrer
entrent;entrer
entre;entrer
entres;entrer
entre;entrer
entrons;entrer
entrez;entrer
entrent;entrer
envahis;envahir
envahis;envahir
envahit;envahir
envahissons;envahir
envahissez;envahir
envahissent;envahir
enveloppe;envelopper
enveloppes;envelopper
enveloppe;envelopper
enveloppons;envelopper
enveloppez;envelopper
enveloppent;envelopper
envoûte;envouter
envoûtes;envouter
envoûte;envouter
envoûtons;envouter
envoûtez;envouter
envoûtent;envouter
envoie;envoyer
envoies;envoyer
envoie;envoyer
envoyons;envoyer
envoyez;envoyer
envoient;envoyer
envoie;envoyer
envoies;envoyer
envoie;envoyer
envoyons;envoyer
envoyez;envoyer
envoient;envoyer
envoie;envoyer
envoies;envoyer
envoie;envoyer
envoyons;envoyer
envoyez;envoyer
envoient;envoyer
envoie;envoyer
envoies;envoyer
envoie;envoyer
envoyons;envoyer
envoyez;envoyer
envoient;envoyer
envoie;envoyer
envoies;envoyer
envoie;envoyer
envoyons;envoyer
envoyez;envoyer
envoient;envoyer
envoie;envoyer
envoies;envoyer
envoie;envoyer
envoyons;envoyer
envoyez;envoyer
envoient;envoyer
envoie;envoyer
envoies;envoyer
envoie;envoyer
envoyons;envoyer
envoyez;envoyer
envoient;envoyer
envoie;envoyer
envoies;envoyer
envoie;envoyer
envoyons;envoyer
envoyez;envoyer
envoient;envoyer
envoûte;envoûter
envoûtes;envoûter
envoûte;envoûter
envoûtons;envoûter
envoûtez;envoûter
envoûtent;envoûter
escalade;escalader
escalades;escalader
escalade;escalader
escaladons;escalader
escaladez;escalader
escaladent;escalader
esquive;esquiver
esquives;esquiver
esquive;esquiver
esquivons;esquiver
esquivez;esquiver
esquivent;esquiver
essaie;essayer
essaies;essayer
essaie;essayer
essayons;essayer
essayez;essayer
essaient;essayer
essuie;essuyer
essuies;essuyer
essuie;essuyer
essuyons;essuyer
essuyez;essuyer
essuient;essuyer
essuie;essuyer
essuies;essuyer
essuie;essuyer
essuyons;essuyer
essuyez;essuyer
essuient;essuyer
essuie;essuyer
essuies;essuyer
essuie;essuyer
essuyons;essuyer
essuyez;essuyer
essuient;essuyer
essuie;essuyer
essuies;essuyer
essuie;essuyer
essuyons;essuyer
essuyez;essuyer
essuient;essuyer
essuie;essuyer
essuies;essuyer
essuie;essuyer
essuyons;essuyer
essuyez;essuyer
essuient;essuyer
essuie;essuyer
essuies;essuyer
essuie;essuyer
essuyons;essuyer
essuyez;essuyer
essuient;essuyer
essuie;essuyer
essuies;essuyer
essuie;essuyer
essuyons;essuyer
essuyez;essuyer
essuient;essuyer
essuie;essuyer
essuies;essuyer
essuie;essuyer
essuyons;essuyer
essuyez;essuyer
essuient;essuyer
essuie;essuyer
essuies;essuyer
essuie;essuyer
essuyons;essuyer
essuyez;essuyer
essuient;essuyer
essuie;essuyer
essuies;essuyer
essuie;essuyer
essuyons;essuyer
essuyez;essuyer
essuient;essuyer
essuie;essuyer
essuies;essuyer
essuie;essuyer
essuyons;essuyer
essuyez;essuyer
essuient;essuyer
estampille;estampiller
estampilles;estampiller
estampille;estampiller
estampillons;estampiller
estampillez;estampiller
estampillent;estampiller
examine;examiner
examines;examiner
examine;examiner
examinons;examiner
examinez;examiner
examinent;examiner
exclus;exclure
exclus;exclure
exclut;exclure
excluons;exclure
excluez;exclure
excluent;exclure
exhale;exhaler
exhales;exhaler
exhale;exhaler
exhalons;exhaler
exhalez;exhaler
exhalent;exhaler
exhume;exhumer
exhumes;exhumer
exhume;exhumer
exhumons;exhumer
exhumez;exhumer
exhument;exhumer
existe;exister
existes;exister
existe;exister
existons;exister
existez;exister
existent;exister
expire;expirer
expires;expirer
expire;expirer
expirons;expirer
expirez;expirer
expirent;expirer
explique;expliquer
expliques;expliquer
explique;expliquer
expliquons;expliquer
expliquez;expliquer
expliquent;expliquer
explore;explorer
explores;explorer
explore;explorer
explorons;explorer
explorez;explorer
explorent;explorer
exporte;exporter
exportes;exporter
exporte;exporter
exportons;exporter
exportez;exporter
exportent;exporter
expose;exposer
exposes;exposer
expose;exposer
exposons;exposer
exposez;exposer
exposent;exposer
exprime;exprimer
exprimes;exprimer
exprime;exprimer
exprimons;exprimer
exprimez;exprimer
expriment;exprimer
expulse;expulser
expulses;expulser
expulse;expulser
expulsons;expulser
expulsez;expulser
expulsent;expulser
expédie;expédier
expédies;expédier
expédie;expédier
expédions;expédier
expédiez;expédier
expédient;expédier
expérimente;expérimenter
expérimentes;expérimenter
expérimente;expérimenter
expérimentons;expérimenter
expérimentez;expérimenter
expérimentent;expérimenter
extrais;extraire
extrais;extraire
extrait;extraire
extrayons;extraire
extrayez;extraire
extraient;extraire
fabrique;fabriquer
fabriques;fabriquer
fabrique;fabriquer
fabriquons;fabriquer
fabriquez;fabriquer
fabriquent;fabriquer
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
cuis;faire
cuis;faire
cuit;faire
cuisons;faire
cuisez;faire
cuisent;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
tais;faire
tais;faire
tait;faire
taisons;faire
taisez;faire
taisent;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
tombe;faire
tombes;faire
tombe;faire
tombons;faire
tombez;faire
tombent;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fane;faner
fanes;faner
fane;faner
fanons;faner
fanez;faner
fanent;faner
fantasme;fantasmer
fantasmes;fantasmer
fantasme;fantasmer
fantasmons;fantasmer
fantasmez;fantasmer
fantasment;fantasmer
farfouille;farfouiller
farfouilles;farfouiller
farfouille;farfouiller
farfouillons;farfouiller
farfouillez;farfouiller
farfouillent;farfouiller
farine;fariner
farines;fariner
farine;fariner
farinons;fariner
farinez;fariner
farinent;fariner
fatigue;fatiguer
fatigues;fatiguer
fatigue;fatiguer
fatiguons;fatiguer
fatiguez;fatiguer
fatiguent;fatiguer
fauche;faucher
fauches;faucher
fauche;faucher
fauchons;faucher
fauchez;faucher
fauchent;faucher
faufile;faufiler
faufiles;faufiler
faufile;faufiler
faufilons;faufiler
faufilez;faufiler
faufilent;faufiler
façonne;façonner
façonnes;façonner
façonne;façonner
façonnons;façonner
façonnez;façonner
façonnent;façonner
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferme;fermer
fermes;fermer
ferme;fermer
fermons;fermer
fermez;fermer
ferment;fermer
ferre;ferrer
ferres;ferrer
ferre;ferrer
ferrons;ferrer
ferrez;ferrer
ferrent;ferrer
fertilise;fertiliser
fertilises;fertiliser
fertilise;fertiliser
fertilisons;fertiliser
fertilisez;fertiliser
fertilisent;fertiliser
fic;ficeler
fic;ficeler
ficelle;ficeler
ficelons;ficeler
ficelez;ficeler
ficellent;ficeler
filme;filmer
filmes;filmer
filme;filmer
filmons;filmer
filmez;filmer
filment;filmer
finance;financer
finances;financer
finance;financer
finançons;financer
financez;financer
financent;financer
finis;finir
finis;finir
finit;finir
finissons;finir
finissez;finir
finissent;finir
fissure;fissurer
fissures;fissurer
fissure;fissurer
fissurons;fissurer
fissurez;fissurer
fissurent;fissurer
flaire;flairer
flaires;flairer
flaire;flairer
flairons;flairer
flairez;flairer
flairent;flairer
flâne;flaner
flânes;flaner
flâne;flaner
flânons;flaner
flânez;flaner
flânent;flaner
-;flotter
-;flotter
flotte;flotter
-;flotter
-;flotter
-;flotter
flèche;flécher
flèches;flécher
flèche;flécher
fléchons;flécher
fléchez;flécher
flèchent;flécher
fonds;fondre
fonds;fondre
fond;fondre
fondons;fondre
fondez;fondre
fondent;fondre
force;forcer
forces;forcer
force;forcer
forçons;forcer
forcez;forcer
forcent;forcer
fore;forer
fores;forer
fore;forer
forons;forer
forez;forer
forent;forer
forme;former
formes;former
forme;former
formons;former
formez;former
forment;former
fouette;fouetter
fouettes;fouetter
fouette;fouetter
fouettons;fouetter
fouettez;fouetter
fouettent;fouetter
fouille;fouiller
fouilles;fouiller
fouille;fouiller
fouillons;fouiller
fouillez;fouiller
fouillent;fouiller
franchis;franchir
franchis;franchir
franchit;franchir
franchissons;franchir
franchissez;franchir
franchissent;franchir
franchis;franchir
franchis;franchir
franchit;franchir
franchissons;franchir
franchissez;franchir
franchissent;franchir
frappe;frapper
frappes;frapper
frappe;frapper
frappons;frapper
frappez;frapper
frappent;frapper
fris;frire
fris;frire
frit;frire
-;frire
-;frire
-;frire
frissonne;frissonner
frissonnes;frissonner
frissonne;frissonner
frissonnons;frissonner
frissonnez;frissonner
frissonnent;frissonner
froisse;froisser
froisses;froisser
froisse;froisser
froissons;froisser
froissez;froisser
froissent;froisser
frotte;frotter
frottes;frotter
frotte;frotter
frottons;frotter
frottez;frotter
frottent;frotter
fuis;fuir
fuis;fuir
fuit;fuir
fuyons;fuir
fuyez;fuir
fuient;fuir
fume;fumer
fumes;fumer
fume;fumer
fumons;fumer
fumez;fumer
fument;fumer
fusille;fusiller
fusilles;fusiller
fusille;fusiller
fusillons;fusiller
fusillez;fusiller
fusillent;fusiller
fête;fêter
fêtes;fêter
fête;fêter
fêtons;fêter
fêtez;fêter
fêtent;fêter
gagne;gagner
gagnes;gagner
gagne;gagner
gagnons;gagner
gagnez;gagner
gagnent;gagner
galope;galoper
galopes;galoper
galope;galoper
galopons;galoper
galopez;galoper
galopent;galoper
garde;garder
gardes;garder
garde;garder
gardons;garder
gardez;garder
gardent;garder
garde;garder
gardes;garder
garde;garder
gardons;garder
gardez;garder
gardent;garder
garde;garder
gardes;garder
garde;garder
gardons;garder
gardez;garder
gardent;garder
garde;garder
gardes;garder
garde;garder
gardons;garder
gardez;garder
gardent;garder
garde;garder
gardes;garder
garde;garder
gardons;garder
gardez;garder
gardent;garder
garde;garder
gardes;garder
garde;garder
gardons;garder
gardez;garder
gardent;garder
me gargarise;gargariser
te gargarises;gargariser
se gargarise;gargariser
nous gargarisons;gargariser
vous gargarisez;gargariser
se gargarisent;gargariser
garnis;garnir
garnis;garnir
garnit;garnir
garnissons;garnir
garnissez;garnir
garnissent;garnir
gèle;geler
gèles;geler
gèle;geler
gelons;geler
gelez;geler
gèlent;geler
gerbe;gerber
gerbes;gerber
gerbe;gerber
gerbons;gerber
gerbez;gerber
gerbent;gerber
germe;germer
germes;germer
germe;germer
germons;germer
germez;germer
germent;germer
gifle;gifler
gifles;gifler
gifle;gifler
giflons;gifler
giflez;gifler
giflent;gifler
glisse;glisser
glisses;glisser
glisse;glisser
glissons;glisser
glissez;glisser
glissent;glisser
glousse;glousser
glousses;glousser
glousse;glousser
gloussons;glousser
gloussez;glousser
